MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
72,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1,Converting Decimals to Fractions,Fractions and Decimals,0.75/1,3/4,Which of the following is the correct way to write the decimal 0.75 as a fraction?,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1
73,Confuses a function with an expression,Evaluating functions,Algebra,8,11,What is the value of the function \( f(x) = 2x + 3 \) when \( x = 4 \)?,Confuses a function with an expression
75,Believes that the directions of positive and negative vectors are the opposite way around.,Direction of Negative Vectors,Vector Algebra,The direction of \(-\vec{v}\) is \(3\hat{i} + 4\hat{j}\).,The direction of \(-\vec{v}\) is \(-3\hat{i} + 4\hat{j}\).,"If a vector \(\vec{v}\) is given by \(\vec{v} = 3\hat{i} - 4\hat{j}\), what is the direction of the vector \(-\vec{v}\)?",Believes that the directions of positive and negative vectors are the opposite way around.
79,Does not understand how to divide algebraic terms,Simplifying algebraic expressions by dividing terms. CorrectAnswer: A. ,Algebra,\(3x^6\),\(3x^2\),Simplify the expression \(\frac{3x^4}{x^2}\).,Does not understand how to divide algebraic terms
80,Thinks you can ignore the variable when simplifying algebraic fractions,Simplifying algebraic fractions. CorrectAnswer: A.,Algebra,\(x + 3\),\(3\),Simplify the algebraic fraction \(\frac{3x + 6}{x + 2}\).,Thinks you can ignore the variable when simplifying algebraic fractions.
87,Does not know what an exterior angle is ,Exterior Angle of a Regular Polygon. CorrectAnswer: A.,Geometry,120°,60°,What is the measure of an exterior angle of a regular hexagon?,Does not know what an exterior angle is
90,Does not understand place value after the decimal point,Understanding the value of digits in decimal numbers. CorrectAnswer: A. ,Decimal Place Value,5,0.5,What is the value of the digit 5 in the number 34.56?,Does not understand place value after the decimal point
92,"When identifying the center of rotation, writes down the origin",Center of Rotation. CorrectAnswer: A. ,Geometry,"(0, 0)","(a, b)","What is the center of rotation for the transformation that rotates a point (x, y) 90 degrees counterclockwise around a point (a, b)?","When identifying the center of rotation, writes down the origin."
93,"When multiplying a surd of the form a✓b by an integer, believes the integer and the number under the surd are multiplied",Multiplication of surds and integers. CorrectAnswer: A. ,Algebra,\( 3 \sqrt{20} \),\( 12 \sqrt{5} \),What is the result of multiplying \( 3 \sqrt{5} \) by 4?,"When multiplying a surd of the form \( a \sqrt{b} \) by an integer, believes the integer and the number under the surd are multiplied."
94,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical",Solving Systems of Linear Equations,Algebra,"\( x = 3, y = 2 \)","\( x = 2, y = 1 \)",Solve the system of equations:,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical."
96,Multiplies surds when asked to add,Simplifying surds. CorrectAnswer: A.,Algebra,\( \sqrt{16} \),\( 3\sqrt{2} \),Simplify the expression \( \sqrt{2} + \sqrt{8} \).,Multiplies surds when asked to add
104,Assumes a sequence is linear,Sequence and Series,Algebra,35,37,"Consider the sequence: 2, 5, 10, 17, 26. What is the next term in the sequence?",Assumes a sequence is linear
112,Thinks the difference between the numerator and denominator determines how close the fraction is to 1,Comparing fractions to 1,Fractions,\(\frac{3}{4}\),\(\frac{5}{6}\),Which of the following fractions is closest to 1?,Thinks the difference between the numerator and denominator determines how close the fraction is to 1.
115,Believes fraction to decimal conversion is done by writing the numerator as a decimal,Fraction to Decimal Conversion. CorrectAnswer: A. ,Arithmetic,3.000,0.375,Convert the fraction \(\frac{3}{8}\) to a decimal.,Believes fraction to decimal conversion is done by writing the numerator as a decimal.
116,Believes an outlier is determined by the number of decimal places a number has,,,,,"Which of the following numbers is an outlier in the data set {12.3, 12.4, 12.5, 12.6, 12.7, 12.8, 12.9, 12.10, 12.11, 12.12, 12.13, 12.14, 12.15, 12.16, 12.17, 12.18, 12.19, 12.20, 12.21, 12.22, 12.23, 12.24, 12.25, 12.26, 12.27, 12.28, 12.29, 12.30, 12.31, 12.32, 12.33, 12.34, 12.35, 12.36, 12.37, 12.38, 12.39, 12.40, 12.41, 12.42, 12.43, 12.44, 12.45, 12.46, 12.47, 12.48, 12.49, 12.50, 12.51, 12.52, 12.53, 12.54, 12.55, 12.56, 12.57, 12.58, 12.59, 12.60, 12.61, 12.62, 12.63, 12.64, 12.65, 12.66, 12.67, 12.68, 12.69, 12.70, 12.71, 12.72, 12.73, 12.74, ",
121,Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency,Calculation of midpoints in grouped frequency tables. CorrectAnswer: A.,Statistics,280,35,"In a grouped frequency table, the class intervals are 10-20, 20-30, 30-40, and 40-50 with frequencies 5, 7, 8, and 4 respectively. What is the midpoint of the class interval with the highest frequency?",Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency
122,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator,Converting Percentages to Fractions,Fractions and Percentages,45/45,9/20,Convert 45% to a fraction in its simplest form.,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator.
124,Believes perpendicular bisectors is the term used to describe two lines that are parallel,Perpendicular lines and their properties. CorrectAnswer: A. ,Geometry,Parallel lines,Perpendicular lines,What is the term used to describe two lines that intersect at a right angle?,Believes perpendicular bisectors is the term used to describe two lines that are parallel
125,Thinks the division sign means to add,Order of Operations,Arithmetic Operations,17,6,What is the result of \( 12 \div 3 + 2 \)?,Thinks the division sign means to add
128,Does not understand how to read both x and y coordinates,Intercepts of linear equations. CorrectAnswer: A.,Algebra,"(3, 0)","(0, 3)",What are the coordinates of the point where the line \( y = 2x + 3 \) intersects the y-axis?,Does not understand how to read both x and y coordinates
129,Believes they can change only one side of a ratio and it will remain equivalent,Maintaining Equivalent Ratios,Ratios and Proportions,4,7,"If the ratio of boys to girls in a class is 3:4, and the number of boys is increased by 3, what should be the new number of girls to keep the ratio equivalent?",Believes they can change only one side of a ratio and it will remain equivalent
135,Thinks the value of an exterior angle is 360 degrees,Exterior angles of regular polygons. CorrectAnswer: A. ,Geometry,360 degrees,60 degrees,What is the measure of an exterior angle of a regular hexagon?,Thinks the value of an exterior angle is 360 degrees
139,Thinks triple means add three,Multiplication and Addition,Arithmetic,8,15,"If a number is tripled, what is the result if the original number is 5?",Thinks triple means add three
140,Believes cumulative frequency is plotted at the lower bound of the class,Cumulative Frequency Graphs. CorrectAnswer: A. ,Statistics,At the lower bound of the class interval (20).,At the upper bound of the class interval (30).,"In a cumulative frequency graph, where should the cumulative frequency for the class interval 20-30 be plotted?",Believes cumulative frequency is plotted at the lower bound of the class.
144,Mixes up the x and y values of the coordinates,Understanding the x and y coordinates in a Cartesian plane. CorrectAnswer: A. ,Coordinate Geometry,"(3, 5)","(5, 3)",What are the coordinates of the point that is 5 units to the right and 3 units up from the origin?,Mixes up the x and y values of the coordinates
145,Does not know how to convert percentages with a decimal point into decimals,Converting percentages to decimals. CorrectAnswer: A. ,Arithmetic,3.75,0.375,Convert 37.5% to a decimal.,Does not know how to convert percentages with a decimal point into decimals
147,Multiplies instead of dividing when distributing a total amount,Division of whole numbers. CorrectAnswer: A. ,Arithmetic,960,15,"If 120 apples are distributed equally among 8 baskets, how many apples are in each basket?",Multiplies instead of dividing when distributing a total amount
148,Confuses theoretical and experimental probability,Experimental Probability vs Theoretical Probability  ,Probability  ,1/4  ,1/6  ,"A fair six-sided die is rolled 60 times. If the number 4 appears 10 times, what is the experimental probability of rolling a 4?  ",Confuses theoretical and experimental probability  
149,Believes P(success) in probability notation means the number of successes,Expected value in probability. CorrectAnswer: A.,Probability,8 times,3 times,"In a game, the probability of winning is given as \( P(\text{win}) = \frac{3}{8} \). If you play the game 8 times, how many times do you expect to win?",Believes \( P(\text{success}) \) in probability notation means the number of successes.
150,Confuses written 'teen' numbers with their corresponding single-digit number,Addition of two-digit numbers. CorrectAnswer: A.,Arithmetic,20,30,What is the sum of 13 and 17?,Confuses written 'teen' numbers with their corresponding single-digit number
155,Forgets to apply inverse trigonometric function when finding an angle,Inverse Trigonometric Functions,Trigonometry,\(1\),\(30^\circ\),"If \(\sin(\theta) = \frac{1}{2}\), what is the value of \(\theta\) in degrees?",Forgets to apply inverse trigonometric function when finding an angle
156,Confuses the graph of a linear equation with a quadratic equation,Linear vs. Quadratic Graphs. CorrectAnswer: A. ,Algebra,The graph is a parabola.,The graph is a straight line.,What is the shape of the graph of the equation \( y = 2x + 3 \)?,Confuses the graph of a linear equation with a quadratic equation.
157,Believes squared units can be used to measure lengths,Perimeter of a square. CorrectAnswer: A. ,Geometry,25 square meters,20 meters,What is the perimeter of a square with a side length of 5 meters?,Believes squared units can be used to measure lengths
160,Believes that adding a positive to a negative makes your answer more negative,Addition of Positive and Negative Numbers. CorrectAnswer: A. ,Arithmetic,-8,-2,What is the result of adding -5 and 3?,Believes that adding a positive to a negative makes your answer more negative.
163,Thinks only one variable can introduce bias,Sample size and bias.,Statistics,Increasing the sample size reduces bias.,Increasing the sample size does not necessarily reduce bias.,"In a statistical study, if the sample size is increased, which of the following is true regarding the bias in the study?",Thinks only one variable can introduce bias.
165,"Believes that in y=mx+c, m is the x-intercept",X-intercept of a linear equation. CorrectAnswer: A.,Algebra,\(3\),\(-2\),What is the x-intercept of the line given by the equation \( y = 3x + 6 \)?,"Believes that in \( y = mx + c \), \( m \) is the x-intercept."
168,Believes composite function notation means to substitute the outer function into the inner function,Composite Functions,Algebra,\( (2x + 3)^2 \),\( 2x^2 + 3 \),"If \( f(x) = 2x + 3 \) and \( g(x) = x^2 \), what is \( (f \circ g)(x) \)?",Believes composite function notation means to substitute the outer function into the inner function.
170,Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount,Solving linear equations by dividing both sides. CorrectAnswer: A.,Algebra,\( x + 6 = 5 \),\( x + 2 = 5 \),"If you have the equation \( 3x + 6 = 15 \), and you divide both sides by 3, what is the resulting equation?","Does not understand that when dividing both sides of an equation by an amount, every term must be divided by the same amount."
173,"Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten. ",Multiplication and Division by Powers of Ten. CorrectAnswer: A.,Arithmetic,12,1200,"If \( 300 \times 400 \) is divided by \( 100 \) for each number, what is the result?","Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten."
174,Confuses major and minor sector,Area of a sector,Geometry,314.16 square units,52.36 square units,"In a circle with a radius of 10 units, a sector has a central angle of 60 degrees. What is the area of the minor sector?",Confuses major and minor sector
175,"Thinks that when multiplying decimals (less than 1), the number will get bigger",Multiplication of decimals. CorrectAnswer: A. ,Arithmetic,0.9,0.2,What is the result of multiplying 0.5 by 0.4?,"Thinks that when multiplying decimals (less than 1), the number will get bigger."
177,"When the change in value is greater than the original amount, thinks percentage change = original/change x 100",Percentage Change Calculation. CorrectAnswer: A.,Arithmetic,50%,100%,"If the original price of a product is $50 and it increases to $100, what is the percentage increase in the price?","When the change in value is greater than the original amount, thinks percentage change = original/change x 100"
178,Thinks that the 10 becomes a 20 when adding in standard form ,Adding numbers in scientific notation. CorrectAnswer: A.,Arithmetic with Scientific Notation,\(4.6 \times 10^3\),\(4.6 \times 10^2\),What is the sum of \(1.2 \times 10^2\) and \(3.4 \times 10^2\) in standard form?,Thinks that the 10 becomes a 20 when adding in standard form.
180,Writes the digit 3 times instead of cubing,Exponentiation,Arithmetic,222,8,What is the value of \( 2^3 \)?,Writes the digit 3 times instead of cubing
184,Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid,Space Diagonal of a Cuboid,Geometry,10 cm,14.14 cm,What is the length of the space diagonal of a cuboid with dimensions 6 cm by 8 cm by 10 cm?,Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid
188,Believes interquartile range is the difference between one of the quartiles and the minimum value,Interquartile Range Calculation. CorrectAnswer: A.,Statistics,18,10,"What is the interquartile range (IQR) of the following data set: 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21?",Believes interquartile range is the difference between one of the quartiles and the minimum value.
192,Does not know how to calculate the volume of a prism,Volume of a prism. CorrectAnswer: A.,Geometry,15 cm³,120 cm³,"What is the volume of a rectangular prism with a length of 6 cm, a width of 4 cm, and a height of 5 cm?",Does not know how to calculate the volume of a prism
193,Believes a cyclic quadrilateral can be self-intersecting,Properties of Cyclic Quadrilaterals. CorrectAnswer: A. ,Geometry,A cyclic quadrilateral can be self-intersecting.,A cyclic quadrilateral is a quadrilateral whose vertices all lie on a single circle.,Which of the following statements is true about a cyclic quadrilateral?,Believes a cyclic quadrilateral can be self-intersecting
198,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits",Multiplication of decimals by powers of 10. CorrectAnswer: A. ,Arithmetic,0.4500,45,What is the result of multiplying 0.45 by 100?,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits."
199,"Believes that when multiplying a number with a power, the multiplier is added onto the power",Order of Operations,Algebra,12,18,What is the result of \( 2 \times 3^2 \)?,"Believes that when multiplying a number with a power, the multiplier is added onto the power."
200,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated",Solving simultaneous linear equations by elimination method.,Algebra,"\( x = 4, y = -1 \)","\( x = 2, y = 1 \)",Solve the system of equations:,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated."
203,Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers,Multiplication and Powers of 10,Arithmetic,"120,000",12,"If \( 300 \times 400 = 120,000 \), what is the result of \( 3 \times 4 \)?",Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers.
204,Confuses scalene and equilateral triangles,Properties of equilateral triangles. CorrectAnswer: A.,Geometry,90 degrees,60 degrees,What is the measure of each angle in an equilateral triangle?,Confuses scalene and equilateral triangles
206,Thinks a cylinder is a prism,Volume of a Cylinder,Geometry,135 cubic units,141.37 cubic units,What is the volume of a cylinder with a radius of 3 units and a height of 5 units?,Thinks a cylinder is a prism
208,Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it,Composite Functions,Algebra,\( 2x + 3x^2 \),\( 2x^2 + 3 \),"If \( f(x) = 2x + 3 \) and \( g(x) = x^2 \), what is \( (f \circ g)(x) \)?",Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it.
209,"When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector. ",Vector multiplication by a scalar,Linear Algebra,\(\begin{pmatrix} 7 \\ 8 \end{pmatrix}\),\(\begin{pmatrix} 6 \\ 7.5 \end{pmatrix}\),"If you multiply the vector \(\begin{pmatrix} 4 \\ 5 \end{pmatrix}\) by the fraction \(\frac{3}{2}\), what is the resulting vector?","When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector."
214,Does not understand the 'less than' inequality notation,Understanding of inequality notation. CorrectAnswer: A.,Algebra,6,4,"If \( x < 5 \), which of the following could be a possible value for \( x \)?",Does not understand the 'less than' inequality notation
215,"When asked for a specific term in a sequence, just gives the position number",Finding the nth term of an arithmetic sequence. CorrectAnswer: A.,Arithmetic Sequences,5,19,What is the 5th term in the arithmetic sequence where the first term is 3 and the common difference is 4?,"When asked for a specific term in a sequence, just gives the position number."
216,Believes the smallest number in a set of numbers is always their highest common factor,Highest Common Factor (HCF),Number Theory,12,6,"What is the highest common factor (HCF) of the numbers 12, 18, and 24?",Believes the smallest number in a set of numbers is always their highest common factor.
222,Does not know the meaning of absolute value,Absolute Value Definition. CorrectAnswer: A.,Algebra,-5,5,What is the value of \( |x| \) if \( x = -5 \)?,Does not know the meaning of absolute value
225,Confuses frequency of one class with cumulative frequency,Cumulative Frequency,Statistics,70,30,"In a survey of 100 students, 40 students said they prefer online classes. If the cumulative frequency of students preferring online classes and in-person classes is 70, how many students prefer in-person classes?",Confuses frequency of one class with cumulative frequency
231,Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal,Reciprocal and Division Equivalence. CorrectAnswer: A.,Arithmetic,\( 12 \div 3 \),\( 12 \times \frac{1}{3} \),What is the equivalent multiplication sum for the division sum \( \frac{12}{3} \)?,Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal.
235,Thinks adjacent angles are equal,Adjacent angles on a straight line. CorrectAnswer: A.,Geometry.,90 degrees.,180 degrees.,"If two adjacent angles form a straight line, what is the sum of their measures?",Thinks adjacent angles are equal.
237,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation,Interpretation of scatter plots.,Statistics,A line of best fit can be drawn to represent the relationship between the variables.,There is no relationship between the variables.,What is the correct interpretation of a scatter plot with no discernible pattern or correlation between the variables?,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation.
238,"When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers",Mean of a Data Set,Statistics,2.0,2.5,"In a stem and leaf diagram, the stems are 1, 2, 3, and the leaves are as follows: 1|2, 3, 5; 2|1, 4, 6; 3|2, 7. What is the mean of the data?","When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers."
240,"Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds",Lower Bound in Division,Arithmetic,6.67,6,What is the lower bound of the quotient when 120 is divided by a number between 10 and 20?,"Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds."
241,Thinks co-interior angles sum to 360 degrees,Co-interior angles theorem. CorrectAnswer: A. ,Geometry.,360 degrees.,180 degrees.,"If two parallel lines are cut by a transversal, what is the sum of the co-interior angles?",Thinks co-interior angles sum to 360 degrees.
243,Identifies a common factor but not the highest common factor,Highest Common Factor (HCF),Number Theory,6,12,What is the highest common factor (HCF) of 48 and 60?,Identifies a common factor but not the highest common factor
246,Does not think a kilogram is a unit of mass,Understanding units of mass. CorrectAnswer: A. ,Measurement and Units,8 units,8 kilograms,"If you have 5 kilograms of apples and 3 kilograms of oranges, what is the total mass of the fruits?",Does not think a kilogram is a unit of mass
250,Believes a fraction cannot have a numerator of 0,Value of a fraction with a numerator of 0. CorrectAnswer: A. ,Fractions,Undefined,0,What is the value of the fraction \(\frac{0}{5}\)?,Believes a fraction cannot have a numerator of 0
254,Believes all triangle numbers are odd,Triangle Numbers,Number Theory,17,15,What is the 5th triangle number?,Believes all triangle numbers are odd
257,Uses numerator as whole part of a fraction,Whole number part of a fraction. CorrectAnswer: A.,Fractions,7,2,"If you have the fraction 7/3, what is the whole number part of this fraction?",Uses numerator as whole part of a fraction
258,"When finding a missing number in a factor tree, multiplies by the factor given rather than dividing.",Factor Trees,Factorization,36,8,"In the factor tree below, what number should replace the question mark to make the factorization correct?","When finding a missing number in a factor tree, multiplies by the factor given rather than dividing."
259,"Thinks that when drawing the elevation, the bottom layer does not need to be included ",Drawing Elevation of 3D Objects. CorrectAnswer: A. ,Geometry,"Only the top and middle layers, excluding the bottom layer.","All layers, including the bottom layer.","When drawing the elevation of a 3D object, which layers should be included in the elevation drawing?","Thinks that when drawing the elevation, the bottom layer does not need to be included."
266,Identifies a letter as a common factor but doesn't identify a number as a common factor,Greatest Common Factor (GCF) of Algebraic Expressions. CorrectAnswer: A.,Algebra,\(x^2\),\(6x^2\),What is the greatest common factor (GCF) of \(12x^2\) and \(18x^3\)?,Identifies \(x^2\) as a common factor but doesn't identify 6 as a common factor.
269,"When finding the distance between 2 points, believes the distance is the coordinate of the furthest point from origin",Distance between two points. CorrectAnswer: A.,Geometry,8,5.66,"What is the distance between the points (3, 4) and (7, 8)?","When finding the distance between 2 points, believes the distance is the coordinate of the furthest point from origin."
274,Confuses angle of a sector with the radius,Area of a sector of a circle. CorrectAnswer: A.,Geometry,31.42 square units,13.09 square units,What is the area of a sector of a circle with a radius of 5 units and an angle of 60 degrees?,Confuses angle of a sector with the radius
275,"When finding a point on a line, assumes the point is always the midpoint",Midpoint of a line segment.,Geometry,"(5, 7) (This is actually correct, but for the purpose of the misconception, we will provide a wrong answer based on the misconception)","(5, 7)","Find the coordinates of a point on the line segment connecting the points (2, 3) and (8, 11).","When finding a point on a line, assumes the point is always the midpoint."
276,Adds rather than multiplies when scaling up in direct proportion problems,Direct Proportion,Proportional Reasoning,$40,$30,"If 5 apples cost $10, how much would 15 apples cost?",Adds rather than multiplies when scaling up in direct proportion problems
277,Thinks pressure is force per unit volume,Pressure Calculation,Physics,50 N/m³,50 Pa,What is the pressure exerted by a force of 100 N on an area of 2 m²?,Thinks pressure is force per unit volume
286,"when subtracting a fraction from an integer, just adds their absolute value and places a negative sign in front",Subtracting a Fraction from an Integer,Arithmetic with Fractions,\( -\frac{17}{4} \),\( 4 \frac{1}{4} \),What is the result of \( 5 - \frac{3}{4} \)?,"When subtracting a fraction from an integer, just add their absolute values and place a negative sign in front."
288,Does not break down all factors in a factor tree to primes,Prime Factorization,Number Theory,\(2 \times 60\),\(2^3 \times 3 \times 5\),What is the prime factorization of 120?,Does not break down all factors in a factor tree to primes
291,Thinks a negative y value in a column vector means to move up rather than down,Interpreting Column Vectors in the Coordinate Plane. CorrectAnswer: A. ,Coordinate Geometry,"(3, 2)","(3, -2)","If a point in the coordinate plane is represented by the column vector \(\begin{pmatrix} 3 \\ -2 \end{pmatrix}\), what are the coordinates of the point?",Thinks a negative y value in a column vector means to move up rather than down.
298,Confuses a constant with a variable,Solving linear equations. CorrectAnswer: A.,Algebra,\( x = 5 \),\( x = 3 \),What is the value of \( x \) in the equation \( 5x + 3 = 18 \)?,Confuses a constant (3) with a variable (x).
299,"When solving time problems, finds the difference in the hours and the difference in the minutes but then assumes the minutes will be added on to the number of hours",Calculating Duration Between Two Times. CorrectAnswer: A. ,Time and Duration.,3 hours and 25 minutes.,2 hours and 25 minutes.,"If a movie starts at 2:45 PM and ends at 5:10 PM, how long is the movie?","When solving time problems, finds the difference in the hours and the difference in the minutes but then assumes the minutes will be added on to the number of hours."
301,Thinks you can multiply by a decimal to find a multiple of a number,Multiplication with decimals,Arithmetic,60,6,"If you multiply 12 by 0.5, what is the result?",Thinks you can multiply by a decimal to find a multiple of a number
304,Believes knowing the perimeter of squares does not give you enough information to find the perimeter of combines shapes using those squares,Perimeter of combined shapes,Geometry,32 units,24 units,"If you have two squares, each with a perimeter of 16 units, and you combine them to form a rectangle by placing one square on top of the other, what is the perimeter of the resulting rectangle?",Believes knowing the perimeter of squares does not give you enough information to find the perimeter of combined shapes using those squares
310,"Guesses when something is ""twice as high/much"", rather than multiplying by 2",Understanding the relationship between length and width in a rectangle. CorrectAnswer: A. ,Geometry,2.5 units,10 units,"If a rectangle's length is twice its width, and the width is 5 units, what is the length of the rectangle?","Guesses when something is ""twice as high/much"", rather than multiplying by 2"
