MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerAText,AnswerBText,QuestionText,MisconceptionB
27,Believes squaring a fraction requires you to double both parts,Squaring Fractions,Arithmetic,\( \frac{9}{16} \),\( \frac{6}{8} \),"If you square the fraction \( \frac{3}{4} \), what is the resulting fraction?",Believes squaring a fraction requires you to double both parts
30,"When asked for a number n times smaller or bigger, subtracts or adds n",Understanding of exponential growth versus linear addition,Exponential Growth,8 times larger,6 times larger,"If a certain bacteria population doubles every hour, how many times larger will the population be after 3 hours compared to its size now?","When asked for a number n times larger, adds n instead of calculating the exponential growth."
34,Believes dividing a negative by a positive gives a positive answer,Division of Integers,Arithmetic,\(-4\),\(4\),What is the result of \(-12 \div 3\)?,Believes dividing a negative by a positive gives a positive answer
35,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles,Sum of Interior Angles of Polygons,Geometry,540 degrees,720 degrees,What is the sum of the interior angles of a pentagon if you mistakenly add 2 to the number of sides when using the formula \(180(n-2)\)?,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles
36,Enlarges by the wrong centre of enlargement,Transformation - Enlargement by a correct center of enlargement,Geometry,The new square will be positioned such that its center is twice as far from the original center as the chosen external point is from the original center.,The new square will be in the same position as if it were enlarged from the geometric center.,"A square with a side length of 6 units is enlarged by a scale factor of 2. If a student mistakenly enlarges the square using a point outside the square as the center of enlargement instead of its geometric center, what will be the position of the new square relative to the original?",Enlarges by the wrong centre of enlargement
39,Multiplies by 1000 instead of 100 when converting a decimal to a percentage,Converting decimals to percentages,Arithmetic,35%,350%,"If the decimal 0.35 represents the portion of students who prefer online classes, what is the correct percentage of students preferring online classes?",Multiplies by 1000 instead of 100 when converting a decimal to a percentage
40,Believes midpoint multiplied by frequency is equivalent to frequency density,Understanding Frequency Density Calculation in Grouped Data,Statistics,"This calculation actually finds the total value for that class interval, not the frequency density.",This calculation gives the frequency density directly.,"In a grouped frequency distribution, if a student multiplies the midpoint of a class interval by its frequency to find the frequency density, what is the correct interpretation of this calculation?",Believes midpoint multiplied by frequency is equivalent to frequency density.
41,Believes the mean is the number of categories given divided by something,Understanding the concept of mean in categorical data analysis,Statistics,"The question is flawed because each student can only choose one category, so there is no mean number of categories per student. (Correct understanding)","2.5 (Incorrect application of the given misconception, dividing the number of categories by the total number of students)","A survey was conducted among 50 students to find out their favorite subject. If 10 students chose Math, 15 chose Science, 20 chose English, and 5 chose History, what is the mean number of categories each student chose?",Believes the mean is the number of categories given divided by something
43,Confuses the terms edges and vertices,Understanding the properties of three-dimensional shapes,Geometry,8,12,How many vertices does a cube have if it is often mistakenly referred to as having 12 edges instead?,Confuses the terms edges and vertices
44,"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds",Adding and Subtracting Surds,Algebra,\(7\sqrt{2}\),\(5\sqrt{10}\),Simplify \(3\sqrt{2} + 2\sqrt{8}\).,"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds."
46,Does not realise that division can be broken down into factors,Understanding Division as Factorization,Arithmetic,It equals 6 because 18 is composed of 6 groups of 3.,It equals 5 because dividing by 3 means subtracting 3 once from 18.,"If \( \frac{12}{3} = 4 \), then which of the following is true for \( \frac{18}{3} \)?",Does not realise that division can be broken down into factors.
49,Doesn't believe that when you divide by 0 the answer will always be 0,Division by Zero Concept,Arithmetic,Undefined or error,0,What is the result of dividing any non-zero number by zero?,Doesn't believe that when you divide by 0 the answer will always be 0
50,"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction",Finding the whole from a part using fractions,Fractions,24,13.5,"If 3/4 of a number is 18, what is the number?","When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction (i.e., calculates as if 1/4 of the number is 18)."
53,Thinks circumference is radius x pi,Circumference of a Circle,Geometry,8π,4π,What is the circumference of a circle with a radius of 4 units?,Thinks circumference is radius x pi
56,Assumes a negative number is not rational,Rational Numbers Identification,Number Theory,√2,-3/4,Which of the following numbers is NOT a rational number?,Assumes a negative number is not rational
59,Cannot identify a common factor when simplifying algebraic fractions,Simplifying algebraic fractions by identifying common factors,Algebra,\(2x + 3\),\(2x^2 + 3x\),Simplify the fraction \(\frac{6x^2 + 9x}{3x}\).,Cannot identify a common factor when simplifying algebraic fractions
62,Does not realise that a curved line represents a changing gradient,Understanding of derivative as a measure of rate of change.,Calculus,The curve indicates that the rate of change of the function is not constant; it is increasing or decreasing.,The curve means there is no rate of change because the line is not straight.,"A student plots the graph of a function and observes a curved line. They claim that since the line is not straight, the function does not have any rate of change. How should the student correctly interpret the curve?",Does not realise that a curved line represents a changing gradient.
63,Believes 'data' and 'sample' are interchangeable,Distinguishing between sample and data in statistical studies,Statistics,Sample,Data,"In a study about the average height of students in a country, a researcher collected data from 100 randomly selected students. Which term correctly describes the 100 students in this context?",Believes 'data' and 'sample' are interchangeable
65,Cannot spot a variable within a written scenario,Multiplication and Addition in Word Problems,Arithmetic,360,240,"A local bakery sold 120 cupcakes on Monday. If they sold twice as many cupcakes on Tuesday as they did on Monday, how many cupcakes did they sell in total on both days?",Cannot spot a variable within a written scenario
67,Divides by 1000 instead of 100 when converting a decimal to a percentage,Converting decimals to percentages,Arithmetic,75%,0.0075%,"If a student scored 0.75 on a test, what is their score as a percentage?",Divides by 1000 instead of 100 when converting a decimal to a percentage
69,"When given a non-unit fraction of an amount, treats it like a unit fraction",Understanding scaling of fractions,Fractions,24,12,"If 1/4 of a number is 12, what is 2/4 of the same number?","When given a non-unit fraction of an amount, treats it like a unit fraction"
72,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1,Converting Decimals to Fractions,Fractions and Decimals,2/5,0.4/1,What is the correct way to express the decimal 0.4 as a fraction?,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1
73,Confuses a function with an expression,Evaluating Functions,Algebra,11,2x + 7,What is the value of \(f(x) = 2x + 3\) when \(x = 4\)?,Confuses a function with an expression
75,Believes that the directions of positive and negative vectors are the opposite way around.,Understanding the concept of negative vectors and their direction.,Vector Algebra,The direction of \( -\vec{A} \) is from point Q to point P.,The direction of \( -\vec{A} \) is from point P to point Q.,"If vector \( \vec{A} \) has a direction from point P to point Q, which statement correctly describes the direction of its negative vector \( -\vec{A} \)?",Believes that the directions of positive and negative vectors are the opposite way around.
79,Does not understand how to divide algebraic terms,Dividing algebraic terms with variables,Algebra,\(\frac{x}{3y}\),"\(\frac{1}{3}\), assuming that \(x\) and \(y\) cancel out completely because they appear in both the numerator and the denominator.",Simplify the expression \(\frac{4x^2y}{12xy^2}\).,Does not understand how to divide algebraic terms.
80,Thinks you can ignore the variable when simplifying algebraic fractions,Simplifying Algebraic Fractions,Algebra,\( \frac{1}{2} \),\( 1 \),Simplify the fraction \(\frac{4x}{8x}\).,Thinks you can ignore the variable when simplifying algebraic fractions
87,Does not know what an exterior angle is ,Understanding of Exterior Angles in Triangles,Geometry,130 degrees,"110 degrees, 90 degrees, 70 degrees",What is the measure of an exterior angle of a triangle if one of its interior angles is 50 degrees and another is 60 degrees?,Does not know what an exterior angle is
90,Does not understand place value after the decimal point,Identifying the tenths place in a decimal number,Decimal Place Value,4,"5, 6, 0","If you have the number 0.456, which digit represents the tenths place?",Does not understand place value after the decimal point
92,"When identifying the center of rotation, writes down the origin",Identifying the Center of Rotation in Transformations,Geometry,Any point outside both the original and the image triangles that does not coincide with the actual center of rotation.,"The origin (0,0) assuming the coordinate system is not necessarily aligned with the figure.",A triangle has been rotated about a point to form its image. Which point could NOT be the center of rotation if the original and the image triangles do not overlap?,"When identifying the center of rotation, writes down the origin."
93,"When multiplying a surd of the form a✓b by an integer, believes the integer and the number under the surd are multiplied",Multiplication of integers with surds,Algebra,6,12,What is the result of \(3 \times \sqrt{4}\)?,"When multiplying a surd of the form \(a\sqrt{b}\) by an integer, believes the integer and the number under the surd are multiplied."
94,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical",Solving Systems of Linear Equations by Elimination,Algebra,2,3,Solve the system of equations \(3x + 2y = 14\) and \(5x - y = 9\). What is the value of \(x\)?,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical"
96,Multiplies surds when asked to add,Addition of Surds,Algebra,\( 3\sqrt{3} \),\( \sqrt{15} \),Simplify the expression \( \sqrt{3} + \sqrt{12} \).,Multiplies surds when asked to add
100,Believes angles in a triangle sum to 360 degrees,Sum of Interior Angles in a Triangle,Geometry,180 degrees,360 degrees,What is the sum of the interior angles in a triangle?,Believes angles in a triangle sum to 360 degrees
104,Assumes a sequence is linear,Understanding Non-linear Sequence Patterns,Sequences and Series,28,30,"A sequence starts with the number 5, and each subsequent term increases by 3, then by 4, then by 5, and so on. What is the 6th term in the sequence?",Assumes a sequence is linear
106,Believes an arrowhead has four equal sides,Understanding the properties of geometric shapes and calculating perimeters,Geometry,40 units,"10 units, 20 units, 30 units","An arrowhead is placed on a coordinate plane. If one of its sides lies along the x-axis and the length of this side is 10 units, what could be the perimeter of the arrowhead if it has four equal sides?",Believes an arrowhead has four equal sides
112,Thinks the difference between the numerator and denominator determines how close the fraction is to 1,Understanding of fraction proximity to whole numbers based on numerator-denominator relationship,Fractions,7/8,3/5,Which fraction is closest to 1?,Thinks the difference between the numerator and denominator determines how close the fraction is to 1
115,Believes fraction to decimal conversion is done by writing the numerator as a decimal,Converting fractions to decimals,Arithmetic,0.75,3.04,What is the decimal equivalent of the fraction \( \frac{3}{4} \)?,Believes fraction to decimal conversion is done by writing the numerator as a decimal
116,Believes an outlier is determined by the number of decimal places a number has,Understanding Outliers in Data Analysis,Statistics,123.456 (This is not actually an outlier based on decimal places),"123.45, 123.456789, 123 (These are wrong because they assume that the number of decimal places determines if a number is an outlier)",Which of the following numbers is considered an outlier based on the number of decimal places it has?,Believes an outlier is determined by the number of decimal places a number has
121,Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency,Understanding how to calculate contributions from class intervals in grouped frequency tables.,Statistics,Multiply the midpoint (15) by the frequency (4) and then divide by the number of class intervals.,Multiply the midpoint (15) by the frequency (4) directly to get the contribution.,"In a grouped frequency table, if the midpoint of a class interval is 15 and the frequency is 4, what is the correct way to find the contribution of this class interval to the total?",Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency.
122,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator,Conversion of percentages to fractions,Fractions and Percentages,1/2,50/50,What is the fraction equivalent of 50% if you incorrectly apply the rule of writing the percentage value as both the numerator and the denominator?,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator
124,Believes perpendicular bisectors is the term used to describe two lines that are parallel,"Understanding the definitions of perpendicular lines, perpendicular bisectors, and parallel lines.",Geometry,"Two lines are perpendicular if they intersect at a 90-degree angle, and a perpendicular bisector is a line that divides another line segment into two equal parts at 90 degrees.",Two lines are considered perpendicular bisectors if they run alongside each other without ever meeting.,Which of the following statements correctly describes the relationship between two lines in a plane?,Believes perpendicular bisectors is the term used to describe two lines that are parallel.
125,Thinks the division sign means to add,Understanding Division in Proportions,Ratio and Proportions,1 cup,6 cups,"If a recipe calls for 4 cups of flour to make 8 servings, how many cups of flour are needed for 2 servings?",Thinks the division sign means to add
128,Does not understand how to read both x and y coordinates,Reading Coordinates on the Cartesian Plane,Coordinate Geometry,"(3, 2)","(3, 0), (0, 2)",What are the coordinates of point P on the coordinate plane if P is located 3 units to the right of the origin and 2 units above the origin?,Does not understand how to read both x and y coordinates
129,Believes they can change only one side of a ratio and it will remain equivalent,Understanding Equivalent Ratios,Ratios and Proportions,16,9,"If the ratio of boys to girls in a classroom is 3:4, and there are 12 boys, how many girls are there?",Believes they can change only one side of a ratio and it will remain equivalent
135,Thinks the value of an exterior angle is 360 degrees,Exterior Angles of Polygons,Geometry,45 degrees,360 degrees,What is the measure of each exterior angle of a regular octagon?,Thinks the value of an exterior angle is 360 degrees
137,Does not know the meaning of the word identity ,Understanding function equivalence.,Functions.,Two functions are identical if they have the same domain and produce the same output for every input.,Two functions are identical if they look similar when graphed.,What does it mean for two functions to be identical?,Does not know the meaning of the word identity.
139,Thinks triple means add three,Multiplication by Three,Arithmetic Operations,6 cups,5 cups,"If a recipe calls for triple the amount of sugar and the original recipe uses 2 cups, how much sugar should you use?",Thinks triple means add three
140,Believes cumulative frequency is plotted at the lower bound of the class,Understanding Cumulative Frequency in Grouped Data,Statistics,The total number of students surveyed is 45.,There are 45 students who studied exactly 10 hours.,"A grouped frequency table shows the number of hours students spent studying per week. If the last interval is ""10 or more hours"" and the cumulative frequency at this point is 45, which of the following statements is true based on the student's understanding that cumulative frequency is plotted at the lower bound of the class?",Believes cumulative frequency is plotted at the lower bound of the class.
144,Mixes up the x and y values of the coordinates,Symmetry in Coordinate Plane,Coordinate Geometry,"(-3, -4)","(3, 4)","If the coordinates of point P are (3, -4), what are the coordinates of point Q which is symmetrical to point P with respect to the y-axis?",Mixes up the x and y values of the coordinates
145,Does not know how to convert percentages with a decimal point into decimals,Converting Percentages to Decimals,Arithmetic,20.0,2.0,What is 40% of 50 expressed as a decimal?,Does not know how to convert percentages with a decimal point into decimals
147,Multiplies instead of dividing when distributing a total amount,Division as equal sharing,Arithmetic,8,288,A teacher has 48 books and wants to distribute them equally among her 6 students. How many books will each student receive?,Multiplies instead of dividing when distributing a total amount
148,Confuses theoretical and experimental probability,Differentiating between theoretical and experimental probability,Probability,1/2,45/100,A coin is flipped 100 times and lands on heads 45 times. What is the theoretical probability of the coin landing on heads?,Confuses theoretical and experimental probability
149,Believes P(success) in probability notation means the number of successes,Understanding probability as a ratio of favorable outcomes to total outcomes,Probability,5/8,5,"A bag contains 5 red marbles and 3 green marbles. If a marble is randomly selected from the bag, what is the probability (P) of selecting a red marble?",Believes P(success) in probability notation means the number of successes
150,Confuses written 'teen' numbers with their corresponding single-digit number,Understanding place value in two-digit numbers,Addition,Twenty,Twenty-one,What is the sum of seven and thirteen?,Confuses written 'teen' numbers with their corresponding single-digit number
153,"When dividing decimals with the same number of decimal places as each other, assumes the answer also has the same number of decimal places",Decimal Division Understanding,Arithmetic Operations,3,0.3,"If you divide 0.45 by 0.15, what is the result?","When dividing decimals with the same number of decimal places as each other, assumes the answer also has the same number of decimal places"
155,Forgets to apply inverse trigonometric function when finding an angle,Application of Inverse Tangent Function to Find Angles in Right Triangles,Trigonometry,Approximately 36.87 degrees,Approximately 0.64 radians,"In a right triangle, if the length of the opposite side is 3 units and the adjacent side is 4 units, what is the measure of the angle θ between the adjacent side and the hypotenuse?",Forgets to apply inverse trigonometric function when finding an angle
156,Confuses the graph of a linear equation with a quadratic equation,Graphing Linear Equations vs Quadratic Equations,Algebra,A straight line on a Cartesian plane.,A parabolic curve on a Cartesian plane.,Which of the following graphs represents a linear equation?,Confuses the graph of a linear equation with a quadratic equation
157,Believes squared units can be used to measure lengths,Understanding of square roots and units in measurement.,Geometry.,4 meters.,16 meters.,"If a square has an area of 16 square meters, what is the length of one side?",Believes squared units can be used to measure lengths.
160,Believes that adding a positive to a negative makes your answer more negative,Addition of Integers,Basic Arithmetic,-5,-19,What is the result of adding -12 and +7?,Believes that adding a positive to a negative makes your answer more negative.
163,Thinks only one variable can introduce bias,Understanding Multivariate Analysis in Experimental Design,Statistics,The results may be biased due to ignoring other significant variables.,The results will be completely accurate since only one variable is considered.,"In a study comparing the heights of plants from two different species, if a student only considers the species as a variable but ignores the soil type and sunlight exposure, which of the following is true?",Thinks only one variable can introduce bias
165,"Believes that in y=mx+c, m is the x-intercept",Understanding X-Intercept in Linear Equations,Linear Equations,\(-\frac{3}{2}\),2,What is the x-intercept of the line represented by the equation \(y = 2x + 3\)?,"Believes that in \(y=mx+c\), \(m\) is the x-intercept."
168,Believes composite function notation means to substitute the outer function into the inner function,Understanding of Composite Functions,Algebra,\(9x^2 + 12x + 4\),\(x^2 + 3x + 2\),"If \(f(x) = x^2\) and \(g(x) = 3x + 2\), what is \((f \circ g)(x)\)?",Believes composite function notation means to substitute the outer function into the inner function
170,Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount,Solving linear equations by division,Algebra,\(x = 3\),\(x = 5\),"If \(2x + 4 = 10\), what is the value of \(x\)?",Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount
173,"Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten. ",Understanding the effect of dividing factors by powers of ten on the product.,Arithmetic Operations,1600,160,"If \(320 \times 50\) is equal to \(16000\), what is the result of \((320 \div 10) \times (50 \div 10)\)?","Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten."
174,Confuses major and minor sector,Area of Sectors in Circles.,Geometry.,Approximately 235.62 cm².,Approximately 104.72 cm².,"In a circle with center O, the angle ∠AOB measures 120°. If the length of the radius OA is 10 cm, what is the area of the major sector AOB?",Confuses major and minor sector.
175,"Thinks that when multiplying decimals (less than 1), the number will get bigger",Understanding the effect of multiplication on numbers less than one.,Arithmetic Operations with Decimals.,Less than both numbers.,Greater than both numbers.,"If you multiply 0.5 by 0.2, will the product be greater than, less than, or equal to both numbers?","Thinks that when multiplying decimals (less than 1), the number will get bigger."
177,"When the change in value is greater than the original amount, thinks percentage change = original/change x 100",Calculating Percentage Increase,Percentages,50%,150%,"If the price of a stock increased from $50 to $75, what is the percentage increase in the stock price?","When the change in value is greater than the original amount, thinks percentage change = original/change x 100"
178,Thinks that the 10 becomes a 20 when adding in standard form ,Understanding of place value in addition,Addition,20,24,What is the sum of 14 and 6 in standard form?,Thinks that the 10 becomes a 20 when adding in standard form
180,Writes the digit 3 times instead of cubing,Understanding of cubing a number,Exponents,8,222,What is the value of \(2^3\)?,Writes the digit 3 times instead of cubing
181,Assumes a ratio is part to part instead of part to whole,Understanding ratios as part-to-whole relationships,Ratios and Proportions,25,18,"In a classroom, there are 3 boys for every 2 girls. If there are 15 boys in the classroom, how many students are there in total?",Assumes a ratio is part to part instead of part to whole
184,Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid,Space Diagonal Calculation in Cuboids,Geometry,13,5,"What is the length of the space diagonal \(d\) in a cuboid with side lengths \(a = 3\), \(b = 4\), and \(c = 12\)?",Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid.
188,Believes interquartile range is the difference between one of the quartiles and the minimum value,Interquartile Range Calculation,Statistics,13 (The interquartile range is calculated as Q3 - Q1 = 28 - 15),13 (Believing it's the difference between the third quartile and the minimum value),"What is the interquartile range for the following set of numbers? 12, 15, 18, 20, 22, 25, 28, 30, 33.",Believes interquartile range is the difference between one of the quartiles and the minimum value
192,Does not know how to calculate the volume of a prism,Volume of a Rectangular Prism Calculation,Geometry,30 cubic centimeters,10 cubic centimeters,"What is the volume of a rectangular prism with a length of 5 cm, a width of 3 cm, and a height of 2 cm?",Does not know how to calculate the volume of a prism
193,Believes a cyclic quadrilateral can be self-intersecting,Properties of Cyclic Quadrilaterals,Geometry,"No, a cyclic quadrilateral cannot be self-intersecting because all its vertices lie on a single circle, which does not allow for any crossing of sides.","Yes, a cyclic quadrilateral can be self-intersecting if two of its opposite vertices coincide.",Can a cyclic quadrilateral ever be self-intersecting?,Believes a cyclic quadrilateral can be self-intersecting
197,"Believes an outlier is the value in a data set with the biggest denominator, even if this value is close to the mean",Understanding Outliers in Data Sets,Statistics,The age of 45 might be considered an outlier if it significantly affects the distribution of the data set.,The age of 45 is not an outlier because it has the biggest denominator.,"In a data set representing the ages of participants in a study, one participant is 45 years old while all others are between 20 and 30 years old. According to the definition of an outlier, which statement is true?","Believes an outlier is the value in a data set with the biggest denominator, even if this value is close to the mean."
198,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits",Multiplying decimals by powers of ten correctly shifts the decimal point.,Decimals and Powers of 10,345,3.4500,What is the result when you multiply 3.45 by 100?,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits"
199,"Believes that when multiplying a number with a power, the multiplier is added onto the power",Understanding of exponentiation and multiplication rules,Exponents and Multiplication,162,36,What is the value of \(2 \times 3^4\)?,"Believes that when multiplying a number with a power, the multiplier is added onto the power."
200,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated",Solving Systems of Equations by Elimination,Algebra,1,3,Solve the system of equations by elimination: \(2x + 3y = 7\) and \(4x - y = 5\). What is the value of \(y\)?,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated."
202,"When asked to add fractions, multiplies instead",Adding Fractions with Different Denominators,Arithmetic - Fractions,\(\frac{11}{12}\),\(\frac{2}{12}\),What is the sum of \(\frac{2}{3}\) and \(\frac{1}{4}\)?,"When asked to add fractions, multiplies instead"
203,Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers,Understanding the effect of division on products,Arithmetic,1600,16000,"If 320 x 50 = 16000, what is the result of (320 ÷ 10) x (50 ÷ 10)?",Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers
204,Confuses scalene and equilateral triangles,Properties of triangles.,Geometry.,It is a scalene triangle.,It is an equilateral triangle.,Which of the following statements is true about a triangle with all sides of different lengths?,Confuses scalene and equilateral triangles.
206,Thinks a cylinder is a prism,Volume Calculation for Cylinders vs Prisms,Geometry,282.74 cubic centimeters (using the correct formula for the volume of a cylinder: πr²h),"45 cubic centimeters (using the formula for the volume of a prism: base area × height, but with incorrect base area calculation due to misconception)","A student claims that the volume of a cylinder can be calculated using the formula for finding the volume of a prism. If the base radius of the cylinder is 3 cm and its height is 5 cm, what volume does the student incorrectly calculate the cylinder to have?",Thinks a cylinder is a prism
208,Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it,Composite Functions,Algebra,\( 2(x - 1)^2 + 3 \),\( 2x^2 + x + 2 \),"If \( f(x) = 2x^2 + 3 \) and \( g(x) = x - 1 \), what is \( (f \circ g)(x) \)?",Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it
209,"When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector. ",Vector Scalar Multiplication,Linear Algebra,\(\begin{pmatrix} 1 \\ 1.5 \end{pmatrix}\),\(\begin{pmatrix} 3 \\ 5 \end{pmatrix}\),"If we have a vector \(\begin{pmatrix} 2 \\ 3 \end{pmatrix}\) and multiply it by the fraction \(\frac{1}{2}\), what is the resulting vector?","When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector."
211,Believes displacement continues to increase even when returning to starting point,Understanding of Displacement as a Vector Quantity,Physics - Kinematics,0 meters,20 meters,"A particle moves along a straight line path from point A to point B, which is 10 meters away. It then returns to point A. What is the displacement of the particle after completing this round trip?",Believes displacement continues to increase even when returning to the starting point.
214,Does not understand the 'less than' inequality notation,Understanding Inequality Symbols,Basic Arithmetic,5,9,Which number is less than 7?,Does not understand the 'less than' inequality notation
215,"When asked for a specific term in a sequence, just gives the position number",Finding a specific term in an arithmetic sequence using the formula,Arithmetic Sequences,19,5,What is the 5th term in the arithmetic sequence where the first term is 3 and the common difference is 4?,"When asked for a specific term in a sequence, just gives the position number"
216,Believes the smallest number in a set of numbers is always their highest common factor,Finding the Highest Common Factor (HCF) of a set of numbers,Number Theory,6,30,"What is the highest common factor (HCF) of the numbers 12, 18, and 30?",Believes the smallest number in a set of numbers is always their highest common factor
222,Does not know the meaning of absolute value,Absolute Value Concept,Basic Algebra,4,-4,What is the absolute value of -4?,Does not know the meaning of absolute value
225,Confuses frequency of one class with cumulative frequency,Understanding Probability from Frequency Tables,Statistics,12/35,35/12,"The frequency table below shows the number of books read by students in a month. If a student is chosen at random, what is the probability that the student read exactly 4 books?",Confuses frequency of one class with cumulative frequency
231,Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal,Understanding Reciprocals in Division and Multiplication Equivalence,Arithmetic Operations,\( 8 \times \frac{1}{4} \),\( 8 + \frac{1}{4} \),"If \( \frac{8}{4} = 2 \), which of the following represents the same value using multiplication with a reciprocal?",Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal
235,Thinks adjacent angles are equal,Understanding the relationship between adjacent angles formed by intersecting lines,Geometry,130 degrees,50 degrees,"In the figure below, two straight lines intersect, forming four angles. If angle 1 measures 50 degrees, what is the measure of angle 2?",Thinks adjacent angles are equal
237,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation,Understanding the conditions for using a line of best fit.,Statistics,It is not appropriate to draw a line of best fit because there is no correlation between the variables.,It is appropriate to draw a line of best fit as it will clearly show the relationship between study hours and test scores.,A scatter plot shows no discernible pattern between the number of hours spent studying and the scores on a math test. Which of the following statements is true regarding drawing a line of best fit for this data?,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation.
238,"When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers",Understanding how to calculate the mean from a stem and leaf plot,Statistics,45,4,"A stem and leaf plot shows the ages of participants in a survey. The stems represent tens and the leaves represent units. If the stems are 2 | 3 | 4 | 5 | 6 and each stem has an equal number of leaves, what is the mean age of the participants?","When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers"
